facility_type,facility_number,facility_name,licensee,facility_administrator,facility_telephone_number,facility_address,facility_city,facility_state,facility_zip,county_name,regional_office,facility_capacity,facility_status,license_first_date,closed_date,file_date
RESIDENTIAL CARE ELDERLY,306005732,ASSISTACARE ROSSMOOR,ASSISTACARE CA,"MACKENZIE, EMALEE",(562) 296-8535,3022 SALMON DR,LOS ALAMITOS,CA,90720,ORANGE,22,6,CLOSED,3/17/2020,9/25/2023,05252025
RESIDENTIAL CARE ELDERLY,306005690,ASSISTED COASTAL LIVING,"ASSISTED COASTAL LIVING, LLC",RUTH KHAY,(949) 413-4069,25011 MONTE VERDE DRIVE,LAGUNA NIGUEL,CA,92677,ORANGE,22,6,CLOSED,1/1/2020,12/5/2022,05252025
RESIDENTIAL CARE ELDERLY,195850085,ASSISTED COMFORT HOME,"ASSISTED COMFORT HOME, INC","KEVLIYAN, MARIAM (MAYA)",(818) 800-9970,23460 HATTERAS ST,WOODLAND HILLS,CA,91367,LOS ANGELES,29,6,CLOSED,,12/1/2020,05252025
RESIDENTIAL CARE ELDERLY,197608534,ASSISTED COMFORT HOME,"ASSISTED COMFORT HOME, INC.",MARIAM KEVLIYAN,(818) 800-9970,23731 KILLION STREET,WOODLAND HILLS,CA,91367,LOS ANGELES,29,6,LICENSED,3/20/2014,,05252025
RESIDENTIAL CARE ELDERLY,197609093,ASSISTED COMFORT HOME 2,ASSISTED COMFORT HOME 2 INC,"KEVLIYAN, MARIAM",(818) 800-9970,6909 FALLBROOK AVE,WEST HILLS,CA,91307,LOS ANGELES,31,6,CLOSED,9/7/2017,9/1/2021,05252025
RESIDENTIAL CARE ELDERLY,019201138,ASSISTED GRACEFUL LIVING,AGING LIVING CARE LLC,"KHATU, MANALI SUHAS",(650) 440-9797,3864 PRINCETON WAY,LIVERMORE,CA,94550,ALAMEDA,15,6,LICENSED,4/13/2022,,05252025
RESIDENTIAL CARE ELDERLY,335530185,ASSISTED LIVING AND MEMORY CARE BY INSPIRATIONS,OUR HOLY MOTHER ASSISTED LIVING COMMUNITY INC,"GARCIA, DOMINIC",(951) 317-4773,1048 LA VAUGHN CIRCLE,CORONA,CA,92881,RIVERSIDE,56,6,LICENSED,9/29/2023,,05252025
RESIDENTIAL CARE ELDERLY,365530117,ASSISTED LIVING AND MEMORY CARE BY INSPIRATIONS,OUR HOLY MOTHER ASSSITED LIVING COMMUNITY INC,"GARCIA, DOMINIC",(951) 317-4773,1048 LA VAUGHN CIRCLE,CORONA,CA,92881,SAN BERNARDINO,56,6,LICENSED,9/29/2023,,05252025
RESIDENTIAL CARE ELDERLY,374604831,ASSISTED LIVING AT WOODBURN,RICHARD ESSERY,"ESSERY, RICHARD",(858) 263-5626,1727 WOODBURN ST,EL CAJON,CA,92021,SAN DIEGO,08,6,LICENSED,10/1/2024,,05252025
RESIDENTIAL CARE ELDERLY,567609701,ASSISTED LIVING BY RAPHAEL,ASSISTED LIVING BY OLGA,"NAPOLITANO, RALPH",(805) 389-8192,91 CALETA DR,CAMARILLO,CA,93012,VENTURA,29,4,CLOSED,4/30/2019,4/11/2025,05252025
RESIDENTIAL CARE ELDERLY,366412576,ASSISTED LIVING OF AMERICA,"ASPE, ZENAIDA A.",VIVIAN M. SMITH,(909) 795-4886,12956 11TH STREET,YUCAIPA,CA,92399,SAN BERNARDINO,56,6,LICENSED,11/29/2006,,05252025
RESIDENTIAL CARE ELDERLY,286803674,ASSISTED LIVING OF NAPA VALLEY-DOWNTOWN,ASSISTED LIVING OF NAPA VALLEY LLC,"SMITH, KRYSTAL",(707) 637-4342,2025 CLAY ST,NAPA,CA,94559,NAPA,21,6,CLOSED,3/22/2017,12/28/2020,05252025
RESIDENTIAL CARE ELDERLY,286803675,ASSISTED LIVING OF NAPA VALLEY-HAMILTON,ASSISTED LIVING OF NAPA VALLEY LLC,"ARNKE,CHRISTINE",(707) 312-2971,3100 HAMILTON STREET,NAPA,CA,94559,NAPA,21,6,LICENSED,3/22/2017,,05252025
RESIDENTIAL CARE ELDERLY,286803879,ASSISTED LIVING OF NAPA VALLEY-SHERMAN,ASSISTED LIVING OF NAPA VALLEY LLC,"ARNKE, CHRISTINE",(707) 312-2971,1460 SHERMAN AVE,NAPA,CA,94558,NAPA,21,6,LICENSED,1/2/2020,,05252025
RESIDENTIAL CARE ELDERLY,197610587,ASSISTED LIVING ON GLADE LLC,ASSISTED LIVING ON GLADE LLC,SIPAN MOVSESYAN,(818) 696-3110,10140 GLADE AVE,CHATSWORTH,CA,91311,LOS ANGELES,31,6,LICENSED,7/22/2024,,05252025
RESIDENTIAL CARE ELDERLY,198603354,ASSISTED LIVING & WELLNESS,ASSISTED LIVING & WELLNESS INC.,"SANDOVAL, JENNIFER",(626) 662-7101,608 WEST PALM DRIVE,ARCADIA,CA,91007,LOS ANGELES,28,6,LICENSED,10/12/2020,,05252025
RESIDENTIAL CARE ELDERLY,198603494,ASSISTED LIVING & WELLNESS - HOLLY,ASSISTED LIVING & WELLNESS INC,"SANDOVAL, JENNIFER",(626) 317-5178,1740 HOLLY AVE,ARCADIA,CA,91007,LOS ANGELES,28,6,LICENSED,2/11/2022,,05252025
RESIDENTIAL CARE ELDERLY,198603483,ASSISTED LIVING & WELLNESS - NAOMI,ASSISTED LIVING & WELLNESS INC.,"SANDOVAL, JENNIFER",(626) 315-2561,220 W. NAOMI AVE,ARCADIA,CA,91007,LOS ANGELES,28,6,LICENSED,10/8/2021,,05252025
RESIDENTIAL CARE ELDERLY,198603645,ASSISTED LIVING & WELLNESS - NAOMI B,ASSISTED LIVING & WELLNESS INC,"SANDOVAL, JENNIFER",(626) 315-2559,220B WEST NAOMI AVE,ARCADIA,CA,91007,LOS ANGELES,28,4,LICENSED,4/18/2023,,05252025
RESIDENTIAL CARE ELDERLY,335530136,ASSISTED LVG & MEMORY CARE HOME AT WILDROSE RANCH,"DEVINE MERCY SOCIAL CARE HOMES, INC.","GARCIA, DOMINIC",(951) 310-4622,22877 MOUNTAIN ASH CIRCLE,CORONA,CA,92883,RIVERSIDE,56,6,LICENSED,4/16/2024,,05252025
RESIDENTIAL CARE ELDERLY,197609927,ASSISTED SENIOR CARE FACILITY,ASSISTED SENIOR CARE FACILITY,"ANZHELIKA, ALIKHANYAN",(818) 300-8393,7039 CLAIRE AVE,RESEDA,CA,91335,LOS ANGELES,31,6,CLOSED,12/24/2019,10/31/2022,05252025
RESIDENTIAL CARE ELDERLY,197610306,ASSISTED SENIOR CARE FACILITY,"ASSISTED SENIOR CARE FACILITY, INC","AGHABEKYAN, GAYANE",(818) 578-5958,7039 CLAIRE AVE,RESEDA,CA,91335,LOS ANGELES,31,6,LICENSED,10/31/2022,,05252025
RESIDENTIAL CARE ELDERLY,306004532,ASSISTED SENIOR HOME,"ASSISTED SENIOR HOME, LLC",Z. GLOUNER,(949) 248-9415,24741 PRISCILLA,DANA POINT,CA,92629,ORANGE,22,6,CLOSED,3/7/2013,8/8/2024,05252025
RESIDENTIAL CARE ELDERLY,331880654,ASSURANCE HOME 1,ASSURANCE INCORPORATED,FRANCESCA MORALES,(760) 537-1969,627 HIGHLAND DR,PALM SPRINGS,CA,92264,RIVERSIDE,18,9,CLOSED,1/24/2019,2/7/2024,05252025
RESIDENTIAL CARE ELDERLY,331880655,ASSURANCE HOME 2,ASSURANCE INCORPORATED,FRANCESCA MORALES,(760) 507-8140,670 HIGHLAND DR,PALM SPRINGS,CA,92264,RIVERSIDE,18,6,CLOSED,1/24/2019,4/25/2024,05252025
RESIDENTIAL CARE ELDERLY,331880656,ASSURANCE HOME 3,ASSURANCE LLC,ARDEN ZALSOS,(760) 537-7376,657 HIGHLAND DR,PALM SPRINGS,CA,92264,RIVERSIDE,18,6,CLOSED,1/24/2019,1/22/2021,05252025
RESIDENTIAL CARE ELDERLY,331880657,ASSURANCE HOME 4,ASSURANCE LLC,ARDEN ZALSOS,(818) 482-4256,677 HIGHLAND DR,PALM SPRINGS,CA,92264,RIVERSIDE,18,6,CLOSED,1/24/2019,1/22/2021,05252025
RESIDENTIAL CARE ELDERLY,197609767,ASSURE CARE VILLA,"ASSURE CARE VILLA, INC.","PEREGRINO, FLORENCE",(747) 237-2345,8854 OAKDALE AVE,NORTHRIDGE,CA,91324,LOS ANGELES,31,6,LICENSED,7/12/2019,,05252025
RESIDENTIAL CARE ELDERLY,197610253,ASSURECARE HOME INC,"ASSURECARE HOME, INC","PELEGRINO, FLORENCE C",(747) 239-3219,16729 TULSA ST,GRANADA HILLS,CA,91344,LOS ANGELES,31,6,LICENSED,10/12/2022,,05252025
RESIDENTIAL CARE ELDERLY,306005743,ASSURED CARE VILLA,"ASSURED CARE VILLA, INC.","DOMPREH-MENSAH, THERESA",(310) 650-4190,561 EAST SECOND AVE,LA HABRA,CA,90631,ORANGE,22,6,LICENSED,1/29/2021,,05252025
RESIDENTIAL CARE ELDERLY,019200745,ASTER GARDEN CARE HOME,"RHU, JINYOUNG","RHU, JINYOUNG",(925) 407-7065,2046 ARNOLD DRIVE,MARTINEZ,CA,94553,ALAMEDA,15,6,CLOSED,12/5/2017,12/1/2022,05252025
RESIDENTIAL CARE ELDERLY,079201170,"ASTER GARDEN CARE HOME, INC","ASTER GARDEN CARE HOME, INC","RHU, JINYOUNG",(925) 407-7065,2046 ARNOLD DRIVE,MARTINEZ,CA,94553,CONTRA COSTA,15,6,LICENSED,12/1/2022,,05252025
RESIDENTIAL CARE ELDERLY,019201140,ASTERA CARE HOME LLC,ASTERA CARE HOME LLC,"ARANHA, SHARON",(510) 200-5922,1528 SEAVER CT,HAYWARD,CA,94545,ALAMEDA,15,6,LICENSED,6/2/2022,,05252025
RESIDENTIAL CARE ELDERLY,197603624,ASTORIA 2,"LEVIN, INNA",INNA LEVIN,(323) 658-7660,8041 BLACKBURN AVENUE,LOS ANGELES,CA,90048,LOS ANGELES,11,12,CLOSED,1/22/2002,9/1/2021,05252025
RESIDENTIAL CARE ELDERLY,507005604,ASTORIA AT OAKDALE,"ASTORIA AT OAKDALE, LLC",JACQUELINE HERNANDEZ,(209) 847-0864,700 LAUREL AVE,OAKDALE,CA,95361,STANISLAUS,27,45,LICENSED,8/14/2015,,05252025
RESIDENTIAL CARE ELDERLY,331880594,ASTORIA CARE HOME,"ABRUDAN, TEODOR","ABRUDAN, TEODOR",(760) 674-7213,74101 PORTOLA POINTE LN,PALM DESERT,CA,92211,RIVERSIDE,18,6,LICENSED,2/19/2019,,05252025
RESIDENTIAL CARE ELDERLY,331881132,ASTORIA CARE HOMES,"ABRUDAN, SELINA","ABRUDAN, SELINA",(714) 277-9980,73765 MONET DR.,PALM DESERT,CA,92211,RIVERSIDE,18,6,LICENSED,6/29/2021,,05252025
RESIDENTIAL CARE ELDERLY,342700851,ASTORIA GARDENS,BEST CARE LLC,MIA MARJOLINO,(916) 714-8685,8609 BANFF VISTA DRIVE,ELK GROVE,CA,95624,SACRAMENTO,27,6,LICENSED,8/13/2020,,05252025
RESIDENTIAL CARE ELDERLY,342701564,ASTORIA GARDENS,BEATE SENIOR SERVICES LLC,"ALATAN, ORISTEMATOSAN",(916) 714-8685,8609 BANFF VISTA DRIVE,ELK GROVE,CA,95624,SACRAMENTO,27,6,PENDING,,,05252025
RESIDENTIAL CARE ELDERLY,397003251,ASTORIA GARDENS,ASTORIA GARDENS TRACY; PREMIER SENIOR LIVING MANAG,MARLENE BREMER,(559) 313-8062,1960 WEST LOWELL,TRACY,CA,95376,SAN JOAQUIN,27,77,CLOSED,2/24/2006,4/24/2025,05252025
RESIDENTIAL CARE ELDERLY,198603566,ASTORIA PARK SENIOR LIVING,ASTORIA PARK SENIOR LIVING LLC,STEPHANIE FUNDERBURG,(626) 796-4303,925 EAST VILLA STREET,PASADENA,CA,91106,LOS ANGELES,28,220,LICENSED,10/26/2022,,05252025
RESIDENTIAL CARE ELDERLY,306004545,ASTORIA RETIREMENT AT DOVER SHORES,"ABRUDAN, TEODOR",OANA ABRUDAN,(714) 306-2253,1412 SANTIAGO DRIVE,NEWPORT BEACH,CA,92660,ORANGE,22,6,CLOSED,6/17/2013,11/1/2024,05252025
RESIDENTIAL CARE ELDERLY,306005176,ASTORIA RETIREMENT RESIDENCE - CORONA DEL MAR,"ABRUDAN, TEODOR",SELINA ABRUDAN,(949) 644-6271,3606 CATAMARAN DRIVE,CORONA DEL MAR,CA,92625,ORANGE,22,6,LICENSED,9/8/2016,,05252025
RESIDENTIAL CARE ELDERLY,306003992,ASTORIA RETIREMENT RESIDENCES,"ABRUDAN, TEODOR",TEODOR ABRUDAN,(949) 719-7718,2209 ALTA VISTA DRIVE,NEWPORT BEACH,CA,92660,ORANGE,22,6,CLOSED,10/22/2008,11/12/2024,05252025
RESIDENTIAL CARE ELDERLY,306005360,ASTORIA SENIOR CARE HOMES AT MONARCH BAY,"SOCO SENIOR CARE HOMES, INC.","ABRUDAN, OANA MARIA",(714) 299-9527,32622 AZORES ROAD,DANA POINT,CA,92629,ORANGE,22,6,LICENSED,11/30/2017,,05252025
RESIDENTIAL CARE ELDERLY,306006649,ASTORIA SENIOR CARE HOMES CAMEO SHORES,"ABRUDAN, TEODOR","ABRUDAN, OANA",(714) 299-9527,4545 ORRINGTON RD,CORONA DEL MAR,CA,92625,ORANGE,22,6,LICENSED,11/1/2024,,05252025
RESIDENTIAL CARE ELDERLY,342700853,ASTORIA VISTA,BEST CARE LLC,"SILAPA,MONALISA",(916) 896-5140,8616 BANFF VISTA DRIVE,ELK GROVE,CA,95624,SACRAMENTO,27,6,LICENSED,8/26/2020,,05252025
RESIDENTIAL CARE ELDERLY,198600290,ASUNCION BOARD & CARE,ADELAIDA G. ASUNCION,ROSEMARIE A. ZIMMER,(626) 338-0772,1636 S. RAMA DRIVE,WEST COVINA,CA,91790,LOS ANGELES,28,6,LICENSED,1/26/2004,,05252025
RESIDENTIAL CARE ELDERLY,015601152,ASYST RESIDENTIAL CARE,"LIU, JIANMEI","LIU, JIANMEI",(510) 713-8963,4865 RICHMOND AVE.,FREMONT,CA,94536,ALAMEDA,15,6,CLOSED,11/28/2005,12/6/2021,05252025
RESIDENTIAL CARE ELDERLY,365530399,AS&FA CARE LLC,AS&FA CARE LLC,"AUDI, FADEE",(909) 454-8094,5804 ACACIA AVE,SAN BERNARDINO,CA,92407,SAN BERNARDINO,56,6,PENDING,,,05252025
RESIDENTIAL CARE ELDERLY,247208959,AT HAVEN HOME,"R&J BUSINESS RESOURCES, LLC","BURNS, JASMIN",(209) 201-9783,644 DARTMOUTH COURT,MERCED,CA,95348,MERCED,24,6,LICENSED,8/27/2019,,05252025
RESIDENTIAL CARE ELDERLY,247209199,AT HAVEN HOME II,"R & J BUSINESS RESOURCES, LLC","BURNS, JASMIN",(209) 201-9783,3763 N LAKE ROAD,MERCED,CA,95340,MERCED,24,13,LICENSED,2/16/2022,,05252025
RESIDENTIAL CARE ELDERLY,565802453,AT HOME CAMARILLO,AT HOME CAMARILLO LLC,"COLON, MARGARITA",(805) 383-8893,417 GARDENIA AVE,CAMARILLO,CA,93010,VENTURA,29,6,LICENSED,1/10/2018,,05252025
RESIDENTIAL CARE ELDERLY,306006599,AT HOME ELDER CARE,ATHOME CARE LLC,"CATACUTAN, MARY JEAN",(714) 602-9754,1919 E LOMITA AVE,ORANGE,CA,92867,ORANGE,22,6,LICENSED,11/8/2024,,05252025
RESIDENTIAL CARE ELDERLY,015601132,AT HOME ELDERLY CARE,"DELUNA, MARIA LOURDES & MACABENTA, ELOISA D.","DELUNA, MARIA LOURDES D.",(510) 278-3906,15734 VIA ESMOND,SAN LORENZO,CA,94580,ALAMEDA,15,5,CLOSED,6/27/2005,4/30/2024,05252025
RESIDENTIAL CARE ELDERLY,565801458,AT HOME IN OJAI,"C&M VICTORIA LANE, INC.",MARIA LUISA M. ROTH,(805) 646-2402,225 N. LOMITA AVENUE,OJAI,CA,93023,VENTURA,29,48,CLOSED,7/12/2007,10/15/2021,05252025
RESIDENTIAL CARE ELDERLY,342701045,AT HOME RESIDENTIAL CARE FACILITY LLC,AT HOME RESIDENTIAL CARE FACILITY LLC,"KHALIL, ASSIA",(510) 932-9707,8955 BOREAL WAY,ELK GROVE,CA,95758,SACRAMENTO,27,6,CLOSED,6/30/2021,5/26/2022,05252025
RESIDENTIAL CARE ELDERLY,435202668,AT HOME SENIOR CARE I,"SAZON, DEBBIE","SAZON, DEBBIE",(408) 738-1400,819 GAIL AVE,SUNNYVALE,CA,94086,SANTA CLARA,26,6,LICENSED,2/26/2019,,05252025
RESIDENTIAL CARE ELDERLY,435202667,AT HOME SENIOR CARE II,"SAZON, DEBBIE","SAZON, DEBBIE",(408) 738-1400,825 GAIL AVE,SUNNYVALE,CA,94086,SANTA CLARA,26,6,LICENSED,2/26/2019,,05252025
RESIDENTIAL CARE ELDERLY,097003989,AT HOME SERENITY CARE,"ATHOME SERENITY CARE, LLC","VINO-DEGUZMAN, MARY",(916) 933-7876,1660 DOWNIEVILLE COURT,EL DORADO HILLS,CA,95762,EL DORADO,59,6,CLOSED,7/16/2008,3/10/2021,05252025
RESIDENTIAL CARE ELDERLY,198601752,AT OPEN ARMS,"AT OPEN ARMS, INC.",KATHERINE PAVON,(909) 624-3692,1680 FINECROFT DRIVE,CLAREMONT,CA,91711,LOS ANGELES,28,6,LICENSED,11/18/2013,,05252025
RESIDENTIAL CARE ELDERLY,336425958,AT SUNNY HILLS HOME CARE,"ZANDERCO, LLC",LINDA THOMAS,(951) 924-3289,26600 IRONWOOD AVE.,MORENO VALLEY,CA,92555,RIVERSIDE,18,8,CLOSED,11/7/2013,3/28/2022,05252025
RESIDENTIAL CARE ELDERLY,236803784,ATALIG'S CARE HOME,"ATALIG, JASON; ATALIG, GRACIA","ATALIG, JASON",(707) 462-2880,1074 ALBRIGHT PL,UKIAH,CA,95482,MENDOCINO,21,6,CLOSED,4/2/2019,2/16/2023,05252025
RESIDENTIAL CARE ELDERLY,198602565,ATARAXIS HOMES I,PROMISES KEPT INC,"BUCKMAN, JAMES",(310) 641-1220,6310 WOOSTER AVE,LOS ANGELES,CA,90056,LOS ANGELES,11,6,CLOSED,5/23/2017,9/9/2020,05252025
RESIDENTIAL CARE ELDERLY,198320108,ATARAXIS HOMES #1,"PROMISES KEPT, INC.","BUCKMAN, JAMES",(323) 573-4554,6732 WOOSTER AVE,LOS ANGELES,CA,90056,LOS ANGELES,11,6,LICENSED,9/9/2020,,05252025
RESIDENTIAL CARE ELDERLY,198320335,ATARAXIS HOMES #2,"PROMISES KEPT, INC.","BUCKMAN, JAMES",(424) 702-5686,6536 SPRINGPARK AVE,LOS ANGELES,CA,90056,LOS ANGELES,11,6,LICENSED,3/23/2023,,05252025
RESIDENTIAL CARE ELDERLY,401700013,ATASCADERO CHRISTIAN HOME,ATASCADERO CHRISTIAN HOME INC,CHRIS WOHLWEND,(805) 466-0281,8455 SANTA ROSA ROAD,ATASCADERO,CA,93422,SAN LUIS OBISPO,29,64,CLOSED,5/14/1974,11/2/2022,05252025
RESIDENTIAL CARE ELDERLY,079201456,ATHENA CARE HOME LLC,ATHENA CARE HOME LLC,"TANG, RENEE",(925) 826-6557,2254 SUGARLOAF CT,BRENTWOOD,CA,94513,CONTRA COSTA,15,6,CLOSED,,3/3/2025,05252025
RESIDENTIAL CARE ELDERLY,415600995,ATHERTON GARDENS,ATHERTON GARDENS,"HOVORKA, KIMBERLY",(650) 993-9313,471 SANTA CLARA AVE,REDWOOD CITY,CA,94061,SAN MATEO,14,6,LICENSED,10/16/2017,,05252025
RESIDENTIAL CARE ELDERLY,331880723,ATIENZA RESIDENTIAL CARE,"ARMSTRONG, CAROLINE","ARMSTRONG, CAROLINE",(951) 845-3565,1328 GALAXY DR,BEAUMONT,CA,92223,RIVERSIDE,56,6,LICENSED,8/14/2019,,05252025
RESIDENTIAL CARE ELDERLY,361880724,ATIENZA RESIDENTIAL CARE,"ARMSTRONG, CAROLINE","ARMSTRONG, CAROLINE",(909) 792-3835,911 HARTZELL AVE,REDLANDS,CA,92374,SAN BERNARDINO,56,6,LICENSED,3/29/2019,,05252025
RESIDENTIAL CARE ELDERLY,547204240,ATKINS WAY HOME,"STONER, V., MOORE, D. & RICKMAN, V.","TAYLOR, RAYMOND",(559) 782-3481,1551 N. ATKINS WAY,PORTERVILLE,CA,93257,TULARE,24,5,LICENSED,5/11/2009,,05252025
RESIDENTIAL CARE ELDERLY,198204012,ATKINSON CARE HOME,TERESITA CASTANEDA & MUQEET D. DADABHOY,MUQEET D. DADABHOY,(310) 819-8218,17035 ATKINSON AVENUE,TORRANCE,CA,90504,LOS ANGELES,11,6,LICENSED,11/19/2003,,05252025
RESIDENTIAL CARE ELDERLY,374604146,ATLANTIK CARE,"ATLANTIK, INC.","SCOTT, JANET P",(760) 295-4587,461 ESTRELITA DR,VISTA,CA,92084,SAN DIEGO,18,12,LICENSED,3/14/2019,,05252025
RESIDENTIAL CARE ELDERLY,306006744,ATLAS LIVING CALLE GRANDE VISTA,ATLAS LIVING CALLE GRANDE LLC.,COLE AMY,(805) 630-1748,2911 CALLE GRANDE VISTA,SAN CLEMENTE,CA,92672,ORANGE,22,6,PENDING,,,05252025
RESIDENTIAL CARE ELDERLY,415600980,ATRIA AT FOSTER SQUARE,"ASLO & FOSTER CITY PTRS, GPS FC OPCO; ATRIA MGT CO",FREDDIE FULLON,(650) 532-2460,707 THAYER LN,FOSTER CITY,CA,94404,SAN MATEO,14,216,LICENSED,12/12/2016,,05252025
RESIDENTIAL CARE ELDERLY,347005251,ATRIA CARMICHAEL OAKS,WG CARMICHAEL OAKS LP; ATRIA MANAGEMENT CO LLC,"DAVIS, KAYLA",(916) 944-2323,8350 FAIR OAKS BLVD,CARMICHAEL,CA,95608,SACRAMENTO,59,95,LICENSED,7/31/2014,,05252025
RESIDENTIAL CARE ELDERLY,374600890,ATRIA COLLWOOD,WG COLLWOOD KNOLLS SH LP; ATRIA MANAGEMENT CO LLC,JULIA LOPEZ,(619) 286-3583,5308 MONROE AVE,SAN DIEGO,CA,92115,SAN DIEGO,08,185,LICENSED,12/20/1999,,05252025
RESIDENTIAL CARE ELDERLY,577000881,ATRIA COVELL GARDENS,WG COVELL SH LP; ATRIA MANAGEMENT CO LLC,CAROL DOWELL,(530) 756-0700,1111 ALVARADO AVE,DAVIS,CA,95616,YOLO,21,210,LICENSED,9/24/1997,,05252025
RESIDENTIAL CARE ELDERLY,191592479,ATRIA COVINA,WG COVINA SH LP; ATRIA MANAGEMENT CO LLC,ALONDRA FUENTES,(626) 967-9621,825 W SAN BERNARDINO RD,COVINA,CA,91722,LOS ANGELES,28,90,LICENSED,8/24/1989,,05252025
RESIDENTIAL CARE ELDERLY,366400985,ATRIA DEL REY,WG DEL REY SH LP; ATRIA MANAGEMENT CO LLC,"DEGUZMAN, SAMUEL",(909) 989-4346,8825 BASELINE RD,RANCHO CUCAMONGA,CA,91730,SAN BERNARDINO,56,145,LICENSED,9/3/1996,,05252025
RESIDENTIAL CARE ELDERLY,306000372,ATRIA DEL SOL,WG DEL SOL SH LP; ATRIA MANAGEMENT CO LLC,"GOODWIN, JEREMIAH",(949) 458-1176,23792 MARGUERITE PKWY,MISSION VIEJO,CA,92692,ORANGE,22,120,LICENSED,5/28/1996,,05252025
RESIDENTIAL CARE ELDERLY,347000389,ATRIA EL CAMINO GARDENS,WG EL CAMINO GARDENS SH LP; ATRIA MANAGEMENT CO,"STANSEL, DANA",(916) 488-5722,2426 GARFIELD AVE,CARMICHAEL,CA,95608,SACRAMENTO,59,325,LICENSED,10/31/1995,,05252025
RESIDENTIAL CARE ELDERLY,435202714,ATRIA EVERGREEN VALLEY,"AOC CA OPCO GP PTR,GP OF AOC SAN FELIPE OPCO;ATRIA",FELICIA R BARKLEY,(408) 532-7677,4463 SAN FELIPE ROAD,SAN JOSE,CA,95135,SANTA CLARA,26,134,LICENSED,9/24/2019,,05252025
RESIDENTIAL CARE ELDERLY,306000752,ATRIA GOLDEN CREEK,WG GOLDEN CREEK SH LP; ATRIA MANAGEMENT CO LLC,JAMES D. CRADDOCK,(949) 786-5665,33 CREEK RD,IRVINE,CA,92604,ORANGE,22,155,LICENSED,4/16/1998,,05252025
RESIDENTIAL CARE ELDERLY,565801876,ATRIA GRAND OAKS,WG GO GP LLC; ATRIA MANAGEMENT CO LLC,EDEN TOLENTINO,(805) 370-5400,2177 E THOUSAND OAKS BLVD,THOUSAND OAKS,CA,91362,VENTURA,29,140,LICENSED,3/25/2014,,05252025
RESIDENTIAL CARE ELDERLY,297005250,ATRIA GRASS VALLEY,WG QUAIL RIDGE LP; ATRIA MANAGEMENT CO LLC,PHOEBIE CARCOT,(530) 272-1055,150 SUTTON WAY,GRASS VALLEY,CA,95945,NEVADA,59,116,LICENSED,9/30/2013,,05252025
RESIDENTIAL CARE ELDERLY,336400075,ATRIA HACIENDA,WG HACIENDA SH LP; ATRIA MANAGEMENT CO LLC,ROBERT STANSBURY,(760) 341-0890,44600 MONTEREY AVE,PALM DESERT,CA,92260,RIVERSIDE,18,266,LICENSED,9/21/1994,,05252025
RESIDENTIAL CARE ELDERLY,565800366,ATRIA HILLCREST,WG HILLCREST INN SH LP; ATRIA MANAGEMENT CO LLC,REMON PAGELS,(805) 373-0606,405 HODENCAMP RD,THOUSAND OAKS,CA,91360,VENTURA,29,207,LICENSED,4/20/1998,,05252025
RESIDENTIAL CARE ELDERLY,565800476,ATRIA LAS POSAS,WG LAS POSAS SH LP; ATRIA MANAGEMENT CO LLC,AMBER WINTERSTEIN,(805) 987-9872,24 LAS POSAS RD,CAMARILLO,CA,93010,VENTURA,29,140,LICENSED,6/25/1999,,05252025
RESIDENTIAL CARE ELDERLY,306005789,ATRIA NEWPORT BEACH,"ASLO GP LLC,GP OF NEWPORT BEACH OPCO LP;ATRIA MGMT","KEYS, BRIAN",(949) 631-3555,393 HOSPITAL ROAD,NEWPORT BEACH,CA,92663,ORANGE,22,195,LICENSED,1/21/2021,,05252025
RESIDENTIAL CARE ELDERLY,306005449,ATRIA NEWPORT PLAZA,"VSL GP II LLC, GP OF VAOC NEWPORT PLAZA LP; ATRIA","GONZALEZ, JOHANNA",(949) 645-6833,1455 SUPERIOR AVE,NEWPORT BEACH,CA,92663,ORANGE,22,160,LICENSED,1/16/2019,,05252025
RESIDENTIAL CARE ELDERLY,336400954,ATRIA PALM DESERT,WG PALM DESERT INC; ATRIA MANAGEMENT CO LLC,"FLORES, DENISE",(760) 773-3772,44300 SAN PASCUAL AVE,PALM DESERT,CA,92260,RIVERSIDE,18,154,LICENSED,2/9/1996,,05252025
RESIDENTIAL CARE ELDERLY,045002489,ATRIA PARADISE,VENTAS AOC OPERATING HOLDINGS; ATRIA MANAGEMENT CO,"MOLATORE, KELLY",(530) 872-3344,1007 BUSCHMANN RD,PARADISE,CA,95969,BUTTE,59,124,CLOSED,11/15/2013,11/3/2020,05252025
RESIDENTIAL CARE ELDERLY,079200326,ATRIA PARK OF LAFAYETTE,WG COUNTRYWOOD LP; ATRIA MANAGEMENT CO LLC,"ANTHONY, KAWANA",(925) 932-9910,1545 PLEASANT HILL RD,LAFAYETTE,CA,94549,CONTRA COSTA,15,130,LICENSED,3/21/2014,,05252025
RESIDENTIAL CARE ELDERLY,198204494,ATRIA PARK OF PACIFIC PALISADES,AL SUBFUNDING LLC; ATRIA MANAGEMENT CO LLC,JOE SALDANA,(310) 573-9545,15441 W SUNSET BLVD,PACIFIC PALISADES,CA,90272,LOS ANGELES,11,60,LICENSED,6/24/2005,,05252025
